REPORT_DATE,SECTOR,VALUE,VALUE_K,VALUE_CHG,VALUE_CHG_PCT,REPORT_DATE_DT,IS_LATEST
15-Jan-22,Airlines,15516,155.16,,,2022-01-15,No
31-Jan-22,Airlines,13143,131.43,-2373.0,-15.29,2022-01-31,No
15-Feb-22,Airlines,15455,154.55,2312.0,17.59,2022-02-15,No
28-Feb-22,Airlines,13095,130.95,-2360.0,-15.27,2022-02-28,No
15-Mar-22,Airlines,12398,123.98,-697.0,-5.32,2022-03-15,No
31-Mar-22,Airlines,13772,137.72,1374.0,11.08,2022-03-31,No
15-Apr-22,Airlines,12961,129.61,-811.0,-5.89,2022-04-15,No
15-Jan-22,Airport Services,7484,74.84,,,2022-01-15,No
31-Jan-22,Airport Services,6966,69.66,-518.0,-6.92,2022-01-31,No
15-Feb-22,Airport Services,6715,67.15,-251.0,-3.6,2022-02-15,No
28-Feb-22,Airport Services,6189,61.89,-526.0,-7.83,2022-02-28,No
15-Mar-22,Airport Services,6204,62.04,15.0,0.24,2022-03-15,No
31-Mar-22,Airport Services,6164,61.64,-40.0,-0.64,2022-03-31,No
15-Apr-22,Airport Services,6500,65.0,336.0,5.45,2022-04-15,No
30-Apr-22,Automobile and Auto Components,221576,2215.76,,,2022-04-30,No
15-May-22,Automobile and Auto Components,206363,2063.63,-15213.0,-6.87,2022-05-15,No
31-May-22,Automobile and Auto Components,228813,2288.13,22450.0,10.88,2022-05-31,No
15-Jun-22,Automobile and Auto Components,220158,2201.58,-8655.0,-3.78,2022-06-15,No
30-Jun-22,Automobile and Auto Components,229758,2297.58,9600.0,4.36,2022-06-30,Yes
15-Jul-22,Automobile and Auto Components,242393,2423.93,12635.0,5.5,2022-07-15,Yes
31-Jul-22,Automobile and Auto Components,246894,2468.94,4501.0,1.86,2022-07-31,Yes
15-Aug-22,Automobile and Auto Components,256873,2568.73,9979.0,4.04,2022-08-15,Yes
31-Aug-22,Automobile and Auto Components,265918,2659.18,9045.0,3.52,2022-08-31,Yes
15-Sep-22,Automobile and Auto Components,272961,2729.61,7043.0,2.65,2022-09-15,Yes
15-Jan-22,Automobiles & Auto Components,207451,2074.51,,,2022-01-15,No
31-Jan-22,Automobiles & Auto Components,209195,2091.95,1744.0,0.84,2022-01-31,No
15-Feb-22,Automobiles & Auto Components,206795,2067.95,-2400.0,-1.15,2022-02-15,No
28-Feb-22,Automobiles & Auto Components,192841,1928.41,-13954.0,-6.75,2022-02-28,No
15-Mar-22,Automobiles & Auto Components,174340,1743.4,-18501.0,-9.59,2022-03-15,No
31-Mar-22,Automobiles & Auto Components,183254,1832.54,8914.0,5.11,2022-03-31,No
15-Apr-22,Automobiles & Auto Components,187788,1877.88,4534.0,2.47,2022-04-15,No
15-Jan-22,Banks,866670,8666.7,,,2022-01-15,No
31-Jan-22,Banks,849179,8491.79,-17491.0,-2.02,2022-01-31,No
15-Feb-22,Banks,855653,8556.53,6474.0,0.76,2022-02-15,No
28-Feb-22,Banks,813917,8139.17,-41736.0,-4.88,2022-02-28,No
15-Mar-22,Banks,769090,7690.9,-44827.0,-5.51,2022-03-15,No
31-Mar-22,Banks,797471,7974.71,28381.0,3.69,2022-03-31,No
15-Apr-22,Banks,820536,8205.36,23065.0,2.89,2022-04-15,No
15-Jan-22,Capital Goods,165010,1650.1,,,2022-01-15,No
31-Jan-22,Capital Goods,157971,1579.71,-7039.0,-4.27,2022-01-31,No
15-Feb-22,Capital Goods,152536,1525.36,-5435.0,-3.44,2022-02-15,No
28-Feb-22,Capital Goods,145593,1455.93,-6943.0,-4.55,2022-02-28,No
15-Mar-22,Capital Goods,137306,1373.06,-8287.0,-5.69,2022-03-15,No
31-Mar-22,Capital Goods,142313,1423.13,5007.0,3.65,2022-03-31,No
15-Apr-22,Capital Goods,146080,1460.8,3767.0,2.65,2022-04-15,No
30-Apr-22,Capital Goods,97186,971.86,-48894.0,-33.47,2022-04-30,No
15-May-22,Capital Goods,87430,874.3,-9756.0,-10.04,2022-05-15,No
31-May-22,Capital Goods,94510,945.1,7080.0,8.1,2022-05-31,No
15-Jun-22,Capital Goods,92798,927.98,-1712.0,-1.81,2022-06-15,No
30-Jun-22,Capital Goods,92721,927.21,-77.0,-0.08,2022-06-30,Yes
15-Jul-22,Capital Goods,96913,969.13,4192.0,4.52,2022-07-15,Yes
31-Jul-22,Capital Goods,104987,1049.87,8074.0,8.33,2022-07-31,Yes
15-Aug-22,Capital Goods,112090,1120.9,7103.0,6.77,2022-08-15,Yes
31-Aug-22,Capital Goods,117775,1177.75,5685.0,5.07,2022-08-31,Yes
15-Sep-22,Capital Goods,116994,1169.94,-781.0,-0.66,2022-09-15,Yes
30-Apr-22,Chemicals,102913,1029.13,,,2022-04-30,No
15-May-22,Chemicals,92336,923.36,-10577.0,-10.28,2022-05-15,No
31-May-22,Chemicals,97732,977.32,5396.0,5.84,2022-05-31,No
15-Jun-22,Chemicals,91631,916.31,-6101.0,-6.24,2022-06-15,No
30-Jun-22,Chemicals,87412,874.12,-4219.0,-4.6,2022-06-30,Yes
15-Jul-22,Chemicals,92251,922.51,4839.0,5.54,2022-07-15,Yes
31-Jul-22,Chemicals,99210,992.1,6959.0,7.54,2022-07-31,Yes
15-Aug-22,Chemicals,105521,1055.21,6311.0,6.36,2022-08-15,Yes
31-Aug-22,Chemicals,107663,1076.63,2142.0,2.03,2022-08-31,Yes
15-Sep-22,Chemicals,111864,1118.64,4201.0,3.9,2022-09-15,Yes
15-Jan-22,Chemicals & Petrochemicals,90563,905.63,,,2022-01-15,No
31-Jan-22,Chemicals & Petrochemicals,83920,839.2,-6643.0,-7.34,2022-01-31,No
