Month,Month_Num,Symbol,Price,Price chg (%),OI,Volume,PCR,IV,Rollover (%),MWPL (%)
Jan-22,101,AARTIIND,"1,010.00",27.55  ( 2.80%),"19,59,250","9,09,500",0.56,30.5,2.53,NaN
Jan-22,101,ABBOTINDIA,"19,599.90",159.85  ( 0.82%),"28,225","6,900",0.34,24.14,1.66,NaN
Jan-22,101,ABCAPITAL,124.75,NaN  ( NaN%),"47,78,400","62,87,600",0,45.76,2.25,NaN
Jan-22,101,ABFRL,272.85,10.45  ( 3.98%),"98,72,200","60,29,400",0.68,38.95,1.63,NaN
Jan-22,101,ACC,"2,228.70",61.15  ( 2.82%),"25,42,250","10,99,500",0.47,33.15,2.48,NaN
Jan-22,101,ADANIENT,"1,719.85",15.20  ( 0.89%),"2,10,51,000","27,27,000",0.83,36.47,0.39,NaN
Jan-22,101,ADANIPORTS,734.5,8.60  ( 1.18%),"8,63,57,500","58,52,500",0.69,33.62,0.38,NaN
Jan-22,101,ALKEM,"3,645.20",-3.85  ( -0.11%),"3,20,400","1,06,200",0.12,32.91,2.31,NaN
Jan-22,101,AMARAJABAT,639.25,18.15  ( 2.92%),"83,10,000","32,70,000",0.64,28.83,6.16,NaN
Jan-22,101,AMBUJACEM,379.7,6.90  ( 1.85%),"1,25,70,000","26,11,500",0.49,29.98,1.52,NaN
Jan-22,101,APLLTD,807.1,3.05  ( 0.38%),"15,82,000","4,09,500",0.25,30.77,1.7,NaN
Jan-22,101,APOLLOHOSP,"5,041.55",56.00  ( 1.12%),"22,64,875","5,71,250",0.29,41.35,1.05,NaN
Jan-22,101,APOLLOTYRE,220.4,2.90  ( 1.33%),"98,52,500","49,27,500",0.77,32.47,2.26,NaN
Jan-22,101,ASHOKLEY,123.25,2.25  ( 1.86%),"3,59,01,000","1,42,56,000",0.8,35.61,3.23,NaN
Jan-22,101,ASIANPAINT,"3,400.65",19.40  ( 0.57%),"34,27,950","5,96,400",0.49,23.98,0.6,NaN
Jan-22,101,ASTRAL,"2,292.50",12.85  ( 0.56%),"5,32,675","1,41,900",0.2,36.78,0.62,NaN
Jan-22,101,ATUL,"9,061.25",43.55  ( 0.48%),"47,625","21,750",0.04,31.76,NaN,NaN
Jan-22,101,AUBANK,"1,039.75",2.45  ( 0.24%),"36,41,500","11,04,000",0.83,41.71,1.29,NaN
Jan-22,101,AUROPHARMA,738.35,12.00  ( 1.65%),"1,51,10,250","28,61,250",0.42,32.28,1.79,NaN
Jan-22,101,AXISBANK,680.35,7.90  ( 1.17%),"5,09,07,600","1,19,13,600",0.85,28.23,2.37,NaN
Jan-22,101,BAJAJ-AUTO,"3,262.05",50.60  ( 1.58%),"31,50,750","5,62,500",0.62,24.47,2.26,NaN
Jan-22,101,BAJAJFINSV,"16,453.85",231.30  ( 1.43%),"5,52,550","1,91,800",0.54,30.8,1.17,NaN
Jan-22,101,BAJFINANCE,"7,010.85",107.80  ( 1.56%),"37,11,625","9,45,125",0.76,31.44,1.93,NaN
Jan-22,101,BALKRISIND,"2,330.05",54.65  ( 2.40%),"13,98,200","2,81,800",0.34,32.05,1.12,NaN
Jan-22,101,BALRAMCHIN,369.45,NaN  ( NaN%),"5,32,800","11,13,600",0,41.66,2.35,NaN
Jan-22,101,BANDHANBNK,253.8,5.55  ( 2.24%),"2,19,87,000","47,91,600",0.82,42.22,2.39,NaN
Jan-22,101,BANKBARODA,82.3,1.80  ( 2.24%),"13,32,39,600","3,13,79,400",0.71,37.44,2.94,NaN
Jan-22,101,BANKNIFTY,"35,628.25",406.90  ( 1.16%),"23,47,925","27,21,675",1.1,20.96,4.4,NaN
Jan-22,101,BATAINDIA,"1,881.50",58.25  ( 3.19%),"12,66,650","13,35,950",0.73,27.29,1.37,NaN
Jan-22,101,BEL,210.85,1.35  ( 0.64%),"2,10,10,200","61,97,800",0.49,34.39,1.97,NaN
Jan-22,101,BERGEPAINT,774.35,11.70  ( 1.53%),"48,68,600","21,39,500",0.54,24.18,1.44,NaN
Jan-22,101,BHARATFORG,701.9,7.10  ( 1.02%),"79,93,500","17,87,250",0.94,30.04,1.32,NaN
Jan-22,101,BHARTIARTL,687.35,4.80  ( 0.70%),"6,85,57,700","94,66,750",0.68,25.16,0.77,NaN
Jan-22,101,BHEL,59.3,1.95  ( 3.40%),"11,11,42,500","3,16,05,000",0.65,45.4,3.1,NaN
Jan-22,101,BIOCON,366.7,4.40  ( 1.21%),"1,71,30,400","42,45,800",0.34,35.36,1.26,NaN
Jan-22,101,BOSCHLTD,"17,210.35",436.40  ( 2.60%),"1,62,300","76,350",0.38,29.1,2.49,NaN
Jan-22,101,BPCL,386.2,7.35  ( 1.94%),"2,56,17,600","48,83,400",0.67,25.24,5.25,NaN
Jan-22,101,BRITANNIA,"3,625.45",38.55  ( 1.07%),"12,50,800","2,10,000",0.84,17.34,1.04,NaN
Jan-22,101,BSOFT,548,3.85  ( 0.71%),"43,19,900","19,52,600",0.38,48.82,1.92,NaN
Jan-22,101,CADILAHC,484.75,3.55  ( 0.74%),"1,71,17,100","47,08,000",0.58,32.77,2.66,NaN
Jan-22,101,CANBK,200.65,4.85  ( 2.48%),"5,28,33,600","1,79,87,400",0.78,36.69,2.12,NaN
Jan-22,101,CANFINHOME,556.55,0.85  ( 0.15%),"38,38,575","6,50,325",0.74,33.39,1.23,NaN
Jan-22,101,CHAMBLFERT,396.45,7.10  ( 1.82%),"19,59,000","12,87,000",0.34,43.21,1.51,NaN
Jan-22,101,CHOLAFIN,523.4,11.80  ( 2.31%),"80,13,750","16,23,750",0.36,38.41,0.99,NaN
Jan-22,101,CIPLA,949.35,-7.35  ( -0.77%),"97,31,800","21,84,000",0.61,27.27,0.87,NaN
Jan-22,101,COALINDIA,146.95,0.55  ( 0.38%),"4,35,79,200","75,18,000",0.64,27,6.77,NaN
Jan-22,101,COFORGE,"5,904.70",30.25  ( 0.51%),"6,35,200","2,68,300",0.27,44,0.66,NaN
Jan-22,101,COLPAL,"1,484.85",20.00  ( 1.37%),"29,49,800","5,88,350",0.58,21.41,3.41,NaN
Jan-22,101,CONCOR,617.85,10.30  ( 1.70%),"60,96,800","6,34,400",0.92,29.9,2.26,NaN
Jan-22,101,COROMANDEL,759.9,6.05  ( 0.80%),"9,33,125","2,87,500",0.45,29.85,10.97,NaN
Jan-22,101,CROMPTON,439.45,6.55  ( 1.51%),"19,94,300","4,79,600",0.95,35.43,0.93,NaN
Jan-22,101,CUB,135.5,-1.05  ( -0.77%),"95,84,600","19,51,600",0.72,35.27,6.28,NaN
Jan-22,101,CUMMINSIND,945.9,12.15  ( 1.30%),"10,59,600","3,63,600",0.26,30.34,3.23,NaN
Jan-22,101,DABUR,581.25,8.80  ( 1.54%),"1,00,13,750","16,80,000",0.6,18.67,1.62,NaN
Jan-22,101,DALBHARAT,"1,858.30",50.75  ( 2.81%),"5,34,250","3,09,250",1.53,30.22,1.2,NaN
Jan-22,101,DEEPAKNTR,"2,505.00",53.15  ( 2.17%),"21,98,250","9,48,500",0.45,41.99,2.22,NaN
Jan-22,101,DELTACORP,260.1,8.20  ( 3.26%),"1,63,55,300","72,74,900",0.7,49.09,3.47,NaN
Jan-22,101,DIVISLAB,"4,689.45",42.10  ( 0.91%),"23,43,900","4,53,600",0.55,26.89,1.67,NaN
Jan-22,101,DIXON,"5,543.50",-34.30  ( -0.61%),"3,74,125","1,56,875",0.39,44.07,5.45,NaN
Jan-22,101,DLF,391.9,11.50  ( 3.02%),"2,67,33,300","84,64,500",0.55,37.71,1.46,NaN
Jan-22,101,DRREDDY,"4,936.05",7.45  ( 0.15%),"21,96,000","5,42,500",0.88,25.84,0.99,NaN
Jan-22,101,EICHERMOT,"2,602.30",39.30  ( 1.53%),"32,56,050","7,73,500",0.41,29.52,1.11,NaN
Jan-22,101,ESCORTS,"1,919.35",8.35  ( 0.44%),"50,55,050","12,83,150",0.62,13.49,4.17,NaN
Jan-22,101,EXIDEIND,169.3,3.40  ( 2.05%),"2,04,08,400","25,52,400",0.51,28.25,10.59,NaN
Jan-22,101,FEDERALBNK,83.2,0.90  ( 1.09%),"9,05,20,000","1,37,30,000",0.5,37.53,2.93,NaN
Jan-22,101,FSL,183.95,-0.05  ( -0.03%),"86,60,600","25,42,800",0.23,53.24,2.43,NaN
Jan-22,101,GAIL,130,1.90  ( 1.48%),"3,96,43,900","51,54,500",0.82,29.89,5.46,NaN
Jan-22,101,GLENMARK,530.1,2.70  ( 0.51%),"89,04,450","18,71,050",0.43,34.88,0.67,NaN
Jan-22,101,GMRINFRA,45.95,-0.95  ( -2.03%),"13,60,12,500","3,46,27,500",0.59,51.33,1.66,NaN
Jan-22,101,GNFC,443.55,NaN  ( NaN%),"4,36,800","9,64,600",0,39.08,2.04,NaN
Jan-22,101,GODREJCP,973.05,18.70  ( 1.96%),"52,37,500","10,58,000",0.53,28.31,0.93,NaN
Jan-22,101,GODREJPROP,"1,881.20",31.85  ( 1.72%),"31,83,050","5,65,500",0.42,42.89,1.56,NaN
Jan-22,101,GRANULES,338.1,-1.80  ( -0.53%),"1,32,89,700","22,14,950",0.19,35.69,0.65,NaN
Jan-22,101,GRASIM,"1,631.75",30.10  ( 1.88%),"1,25,20,050","21,32,750",0.66,28.28,0.27,NaN
Jan-22,101,GSPL,296.05,4.35  ( 1.49%),"8,50,000","4,11,400",0.94,34.96,1.19,NaN
Jan-22,101,GUJGASLTD,638.25,9.55  ( 1.52%),"22,47,500","6,35,000",0.54,32.15,2.49,NaN
Jan-22,101,HAL,"1,218.00",1.45  ( 0.12%),"26,86,125","5,13,475",0.56,27.78,2.15,NaN
Jan-22,101,HAVELLS,"1,405.15",13.20  ( 0.95%),"32,37,000","4,43,500",0.52,31.5,0.61,NaN
Jan-22,101,HCLTECH,"1,314.20",1.95  ( 0.15%),"1,73,75,400","33,40,400",0.47,31.77,1.6,NaN
Jan-22,101,HDFC,"2,593.35",18.35  ( 0.71%),"1,31,82,000","19,14,300",0.5,21.53,0.6,NaN
Jan-22,101,HDFCAMC,"2,452.10",40.50  ( 1.68%),"30,42,400","2,73,400",0.91,22.72,3.47,NaN
Jan-22,101,HDFCBANK,"1,482.60",16.00  ( 1.09%),"3,20,65,000","59,82,900",0.8,20.55,5.71,NaN
Jan-22,101,HDFCLIFE,651.95,8.25  ( 1.28%),"1,89,17,800","24,38,700",0.84,21.3,2.07,NaN
Jan-22,101,HEROMOTOCO,"2,473.90",36.50  ( 1.50%),"38,70,900","7,07,400",0.83,21.72,10.38,NaN
Jan-22,101,HINDALCO,477.05,24.95  ( 5.52%),"2,83,90,750","1,73,44,050",0.5,32.26,1.28,NaN
Jan-22,101,HINDCOPPER,125.45,NaN  ( NaN%),"15,05,000","27,21,900",0,43.08,2.75,NaN
Jan-22,101,HINDPETRO,293.55,3.85  ( 1.33%),"1,07,59,500","20,87,100",0.87,26.76,0.82,NaN
Jan-22,101,HINDUNILVR,"2,366.30",31.20  ( 1.34%),"91,52,700","20,77,500",0.75,17.58,3.84,NaN
Jan-22,101,HONAUT,"42,421.00",NaN  ( NaN%),"3,225","5,925",0,32.26,3.59,NaN
Jan-22,101,IBULHSGFIN,219.3,4.40  ( 2.05%),"2,71,87,000","1,96,66,400",0.52,51.92,4.68,NaN
Jan-22,101,ICICIBANK,744.25,4.75  ( 0.64%),"7,93,98,000","1,31,14,750",0.63,26.67,1.2,NaN
Jan-22,101,ICICIGI,"1,404.40",27.85  ( 2.02%),"30,88,050","3,46,375",0.74,23.29,0.59,NaN
